DepaProvDIST,idh,esperanza,secundaria,tiempoedu,percapitaf
ANCASH_RECUAY_TAPACOCHA,0.22,66.43,28.82,4.99,182.20
ANCASH_RECUAY_TICAPAMPA,0.34,68.42,55.12,7.80,322.60
ANCASH_SANTA_CACERES DEL PERU,0.33,76.14,39.45,5.29,357.70
ANCASH_SANTA_CHIMBOTE,0.57,77.15,72.17,9.84,837.30
ANCASH_SANTA_COISHCO,0.50,77.00,66.55,8.96,666.60
ANCASH_SANTA_MACATE,0.27,74.53,24.63,5.65,267.60
ANCASH_SANTA_MORO,0.37,75.98,41.65,6.15,436.00
ANCASH_SANTA_NEPENA,0.49,77.51,51.65,7.72,747.80
ANCASH_SANTA_NUEVO CHIMBOTE,0.61,77.12,77.44,11.23,921.20
ANCASH_SANTA_SAMANCO,0.48,76.85,50.07,7.93,701.60
ANCASH_SANTA_SANTA,0.47,77.43,54.29,7.99,628.10
ANCASH_SIHUAS_ACOBAMBA,0.23,71.25,46.89,5.94,137.00
ANCASH_SIHUAS_ALFONSO UGARTE,0.26,70.57,26.80,6.28,222.00
ANCASH_SIHUAS_CASHAPAMPA,0.18,72.42,26.95,3.84,128.60
ANCASH_SIHUAS_CHINGALPO,0.30,71.22,39.25,5.70,298.80
ANCASH_SIHUAS_HUAYLLABAMBA,0.22,72.57,29.14,5.03,156.10
ANCASH_SIHUAS_QUICHES,0.20,74.48,21.17,5.41,135.20
ANCASH_SIHUAS_RAGASH,0.18,71.45,31.63,4.33,117.80
ANCASH_SIHUAS_SAN JUAN,0.19,74.57,20.02,3.13,187.60
ANCASH_SIHUAS_SICSIBAMBA,0.23,72.52,28.64,5.19,177.60
ANCASH_SIHUAS_SIHUAS,0.46,73.71,53.61,9.08,587.90
ANCASH_YUNGAY_CASCAPARA,0.16,70.62,12.87,2.89,159.70
ANCASH_YUNGAY_MANCOS,0.36,72.22,54.49,5.96,396.40
ANCASH_YUNGAY_MATACOTO,0.27,70.95,29.23,4.80,294.80
ANCASH_YUNGAY_QUILLO,0.12,72.89,5.55,2.56,122.00
ANCASH_YUNGAY_RANRAHIRCA,0.36,70.44,39.30,6.01,464.00
ANCASH_YUNGAY_SHUPLUY,0.18,68.63,10.40,3.54,199.60
ANCASH_YUNGAY_YANAMA,0.23,67.98,18.44,4.84,240.50
ANCASH_YUNGAY_YUNGAY,0.35,70.90,44.74,6.35,388.00
APURIMAC_ABANCAY_ABANCAY,0.55,74.96,76.85,10.41,739.20
APURIMAC_ABANCAY_CHACOCHE,0.29,67.16,43.23,5.52,287.10
APURIMAC_ABANCAY_CIRCA,0.23,74.51,58.98,4.48,147.70
APURIMAC_ABANCAY_CURAHUASI,0.27,71.82,29.50,5.37,273.40
APURIMAC_ABANCAY_HUANIPACA,0.21,71.98,29.59,4.68,156.80
APURIMAC_ABANCAY_LAMBRAMA,0.24,72.05,49.60,5.00,171.00
APURIMAC_ABANCAY_PICHIRHUA,0.22,71.35,34.78,4.61,164.30
APURIMAC_ABANCAY_SAN PEDRO DE CACHORA,0.28,73.08,22.48,5.03,345.90
APURIMAC_ABANCAY_TAMBURCO,0.50,74.76,80.81,9.26,595.90
APURIMAC_ANDAHUAYLAS_ANDAHUAYLAS,0.42,76.56,61.20,8.12,456.30
APURIMAC_ANDAHUAYLAS_ANDARAPA,0.19,81.51,29.11,3.87,116.80
APURIMAC_ANDAHUAYLAS_CHIARA,0.22,73.31,20.71,3.96,212.40
APURIMAC_ANDAHUAYLAS_HUANCARAMA,0.31,72.62,38.10,4.97,364.50
APURIMAC_ANDAHUAYLAS_HUANCARAY,0.22,77.76,17.04,4.07,219.40
APURIMAC_ANDAHUAYLAS_HUAYANA,0.21,80.46,16.12,4.79,173.60
APURIMAC_ANDAHUAYLAS_KAQUIABAMBA,0.21,78.45,18.08,4.12,187.90
APURIMAC_ANDAHUAYLAS_KISHUARA,0.22,80.38,20.20,3.79,210.80
APURIMAC_ANDAHUAYLAS_PACOBAMBA,0.29,77.67,33.39,4.30,317.70
APURIMAC_ANDAHUAYLAS_PACUCHA,0.24,80.16,43.54,4.06,170.80
APURIMAC_ANDAHUAYLAS_PAMPACHIRI,0.24,75.74,23.16,4.98,208.90
APURIMAC_ANDAHUAYLAS_POMACOCHA,0.21,79.83,13.49,4.82,191.90
